id,label,speak,aliases,category,pos,intent,core,safety,tier,words,composable,components,sources,list_count,corpus_freq,score
card_0038,cold,Cold,colder|coldest,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,100,18.72
card_0039,color,Color,colored|coloring|colors,describing,noun,content,1,0,core,1,0,,consensus22,22,37,14.26
card_0040,come,Come,came|comes|coming,actions,verb,content,1,0,core,1,0,,curated+consensus20,20,314,19.63
card_0041,confused,Confused,,feelings,adj,feeling,1,0,core,1,0,,cbc+curated+consensus20,20,5,16.69
card_0042,cook,Cook,cooked|cooking|cooks,actions,noun,content,1,0,core,1,0,,consensus22,22,35,14.18
card_0043,could,Could,,core,aux,content,1,0,core,1,0,,curated+consensus19,19,239,18.82
card_0044,cut,Cut,cuts|cutting,actions,noun,content,1,0,core,1,0,,cbc+consensus22,22,6,14.72
card_0045,dark,Dark,darker|darkest,describing,noun,content,1,0,core,1,0,,consensus21,21,9,11.85
card_0046,day,Day,,time,noun,content,1,0,core,1,0,,cbc+consensus24,24,196,20.52
card_0047,december,December,,time,noun,content,1,0,core,1,0,,consensus21,21,0,8.4
card_0048,did,Did,,core,aux,content,1,0,core,1,0,,curated+consensus17,17,2026,21.22
card_0049,different,Different,,describing,adj,request,1,0,core,1,0,,pc36+curated+consensus24,24,12,21.45
card_0050,difficult,Difficult,,describing,adj,content,1,0,core,1,0,,consensus21,21,3,10.48
card_0051,dirty,Dirty,dirtier|dirtiest,describing,noun,content,1,0,core,1,0,,cbc+consensus23,23,9,15.65
card_0052,do,Do,doing,core,aux,content,1,0,core,1,0,,pc36+curated+consensus22,22,2026,28.22
card_0053,don't,Don't,,core,aux,content,1,0,core,1,0,,curated+consensus18,18,495,19.51
card_0054,down,Down,,core,func,content,1,0,core,1,0,,cbc+curated+consensus23,23,78,21.75
card_0055,draw,Draw,drawing|drawn|draws|drew,actions,noun,content,1,0,core,1,0,,consensus20,20,5,10.69
card_0056,dress,Dress,dressed|dresses|dressing,actions,noun,content,1,0,core,1,0,,cbc+consensus22,22,40,17.37
card_0057,drink,Drink,drank|drinking|drinks|drunk,drink,noun,content,1,0,core,1,0,,cbc+curated+consensus23,23,108,22.24
card_0058,drive,Drive,driven|drives|driving|drove,actions,noun,content,1,0,core,1,0,,consensus21,21,59,14.54
card_0059,dry,Dry,drier|driest|dryer,actions,noun,content,1,0,core,1,0,,cbc+consensus21,21,6,14.32
card_0060,easy,Easy,easier|easiest,describing,adj,content,1,0,core,1,0,,consensus22,22,13,12.76
card_0061,eat,Eat,ate|eaten|eating|eats,actions,noun,content,1,0,core,1,0,,curated+consensus21,21,153,18.96
card_0062,empty,Empty,emptier|emptiest,describing,adj,content,1,0,core,1,0,,cbc+consensus21,21,2,13.05
card_0063,evening,Evening,,time,verb,content,1,0,core,1,0,,curated+consensus15,15,56,15.06
card_0064,excited,Excited,,feelings,adj,feeling,1,0,core,1,0,,cbc+curated+consensus22,22,28,19.85
card_0065,fall,Fall,fallen|falling|falls,actions,noun,content,1,0,core,1,0,,consensus21,21,13,12.36
card_0066,far,Far,,describing,adv,content,1,0,core,1,0,,consensus20,20,23,12.77
card_0067,fast,Fast,faster|fastest|fasting,describing,noun,content,1,0,core,1,0,,cbc+curated+consensus23,23,19,19.69
card_0068,february,February,,time,adj,content,1,0,core,1,0,,consensus21,21,1,9.44
card_0069,feel,Feel,feeling|feels,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,179,19.59
card_0070,find,Find,finding|finds,actions,verb,content,1,0,core,1,0,,consensus22,22,127,16.08
card_0071,finished,Finished,done|all done|i'm done,describing,verb,affirm,1,0,core,1,0,,pc36+curated+consensus11,11,33,17.69
card_0072,fix,Fix,fixed|fixes|fixing,actions,noun,content,1,0,core,1,0,,consensus20,20,29,13.1
card_0073,fly,Fly,flew|flies|flown|flying,actions,noun,content,1,0,core,1,0,,cbc+consensus22,22,14,15.86
card_0074,for,For,,core,func,content,1,0,core,1,0,,curated+consensus21,21,1036,21.82
card_0075,friday,Friday,,time,noun,content,1,0,core,1,0,,consensus21,21,13,12.36
card_0076,full,Full,fuller|fullest,describing,adj,content,1,0,core,1,0,,cbc+consensus23,23,14,16.26
card_0077,funny,Funny,funnier|funniest,describing,noun,content,1,0,core,1,0,,consensus21,21,31,13.6
card_0078,get,Get,gets|getting|got|gotten,actions,verb,content,1,0,core,1,0,,pc36+curated+consensus22,22,789,26.81
card_0079,give,Give,gave|given|gives|giving,actions,verb,content,1,0,core,1,0,,curated+consensus20,20,167,18.69
card_0080,go,Go,goes|going,actions,verb,content,1,0,core,1,0,,pc36+curated+consensus23,23,1034,27.61
card_0081,good,Good,,describing,adj,content,1,0,core,1,0,,cbc+pc36+curated+consensus25,25,395,29.97
card_0082,green,Green,,colours,adj,content,1,0,core,1,0,,cbc+consensus23,23,10,15.8
card_0083,grow,Grow,grew|growing|grown|grows,actions,noun,content,1,0,core,1,0,,consensus22,22,9,12.25
card_0084,guess,Guess,guessed|guesses|guessing,actions,noun,content,1,0,core,1,0,,consensus21,21,70,14.79
card_0085,had,Had,,core,aux,content,1,0,core,1,0,,curated+consensus13,13,1265,18.92
card_0086,happy,Happy,,feelings,adj,feeling,1,0,core,1,0,,cbc+curated+consensus23,23,57,21.29
card_0087,hard,Hard,harder|hardest,describing,adj,content,1,0,core,1,0,,cbc+consensus20,20,52,16.96
card_0088,has,Has,,core,aux,content,1,0,core,1,0,,curated+consensus16,16,1265,20.12
card_0089,have,Have,having,core,aux,content,1,0,core,1,0,,curated+consensus21,21,1265,22.12
card_0090,he,He,,core,pron,content,1,0,core,1,0,,pc36+curated+consensus23,23,235,25.4
card_0091,hear,Hear,heard|hearing|hears,actions,noun,content,1,0,core,1,0,,curated+consensus20,20,119,18.18
card_0092,help,Help,help me|i need help|helped|helping|helps,actions,noun,request,1,1,core,1,0,,pc36+curated+consensus23,23,313,25.82
card_0093,her,Her,,core,pron,content,1,0,core,1,0,,consensus20,20,156,15.58
card_0094,here,Here,,core,func,content,1,0,core,1,0,,pc36+curated+consensus22,22,220,24.9
card_0095,him,Him,,core,pron,content,1,0,core,1,0,,consensus20,20,128,15.29
card_0096,hold,Hold,held|holding|holds,actions,noun,content,1,0,core,1,0,,consensus21,21,16,12.65
card_0097,hot,Hot,hotter|hottest,feelings,adj,feeling,1,0,core,1,0,,cbc+curated+consensus24,24,82,22.23
card_0098,how,How,,questions,wh,question,1,0,core,1,0,,cbc+curated+consensus22,22,642,24.5
card_0099,hug,Hug,hugged|hugging|hugs,actions,noun,content,1,0,core,1,0,,consensus21,21,10,12.0
card_0100,hungry,Hungry,hungrier|hungriest,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,94,18.63
card_0101,hurt,Hurt,hurting|hurts,feelings,adj,feeling,1,0,core,1,0,,consensus21,21,63,14.64
card_0102,i,I,,core,pron,content,1,0,core,1,0,,pc36+curated+consensus24,24,4733,30.29
card_0103,if,If,,core,func,content,1,0,core,1,0,,curated+consensus19,19,272,19.01
card_0104,in,In,,core,func,content,1,0,core,1,0,,cbc+pc36+curated+consensus25,25,698,30.82
card_0105,is,Is,,core,aux,content,1,0,core,1,0,,curated+consensus21,21,4364,23.97
card_0106,it,It,its,core,pron,content,1,0,core,1,0,,pc36+curated+consensus23,23,1575,28.24
card_0107,january,January,,time,noun,content,1,0,core,1,0,,consensus21,21,3,10.48
card_0108,july,July,,time,noun,content,1,0,core,1,0,,consensus21,21,4,10.81
card_0109,jump,Jump,jumped|jumping|jumps,actions,noun,content,1,0,core,1,0,,consensus20,20,4,10.41
card_0110,june,June,,time,noun,content,1,0,core,1,0,,consensus21,21,4,10.81
card_0111,keep,Keep,keeping|keeps|kept,actions,verb,content,1,0,core,1,0,,consensus20,20,71,14.41
card_0112,kiss,Kiss,kissed|kisses|kissing,actions,noun,content,1,0,core,1,0,,consensus21,21,6,11.32
card_0113,know,Know,knew|knowing|known|knows,actions,verb,content,1,0,core,1,0,,curated+consensus19,19,380,19.51
card_0114,last,Last,,numbers,num,content,1,0,core,1,0,,consensus20,20,97,14.88
card_0115,late,Late,,describing,adv,content,1,0,core,1,0,,consensus20,20,64,14.26
card_0116,later,Later,,describing,adv,content,1,0,core,1,0,,curated+consensus22,22,81,18.41
card_0117,leave,Leave,leaving,actions,verb,content,1,0,core,1,0,,consensus21,21,135,15.77
card_0118,left,Left,,describing,noun,content,1,0,core,1,0,,cbc+consensus23,23,135,19.57
card_0119,less,Less,,describing,other,content,1,0,core,1,0,,curated+consensus20,20,5,13.69
card_0120,like,Like,liked|likes|liking,feelings,adj,feeling,1,0,core,1,0,,pc36+curated+consensus23,23,669,26.96
card_0121,listen,Listen,listened|listening|listens,school,noun,content,1,0,core,1,0,,curated+consensus22,22,30,16.95
card_0122,little,Little,littlest,describing,adj,content,1,0,core,1,0,,cbc+curated+consensus23,23,63,21.44
card_0123,live,Live,lived|living,actions,adj,content,1,0,core,1,0,,consensus20,20,50,13.9
card_0124,long,Long,longer|longest|longing,describing,adv,content,1,0,core,1,0,,cbc+consensus22,22,109,18.85
card_0125,look,Look,looked|looking|looks,actions,noun,content,1,0,core,1,0,,pc36+curated+consensus23,23,197,25.13
card_0126,lose,Lose,loses|losing|lost,actions,verb,content,1,0,core,1,0,,consensus21,21,43,14.08
card_0127,loud,Loud,louder|loudest,describing,noun,content,1,0,core,1,0,,cbc+consensus22,22,13,15.76
card_0128,love,Love,loved|loves|loving,feelings,adj,feeling,1,0,core,1,0,,curated+consensus21,21,288,19.9
card_0129,make,Make,made|makes|making,actions,verb,content,1,0,core,1,0,,pc36+curated+consensus23,23,259,25.54
card_0130,many,Many,,describing,adj,content,1,0,core,1,0,,curated+consensus18,18,43,15.88
card_0131,march,March,,actions,noun,content,1,0,core,1,0,,consensus21,21,0,8.4
card_0132,may,May,,core,aux,content,1,0,core,1,0,,consensus21,21,61,14.59
card_0133,maybe,Maybe,,core,func,content,1,0,core,1,0,,curated+consensus20,20,106,18.01
card_0134,me,Me,,core,pron,content,1,0,core,1,0,,curated+consensus21,21,1465,22.34
card_0135,meet,Meet,meeting|meets|met,actions,noun,content,1,0,core,1,0,,consensus20,20,125,15.25
card_0136,mine,Mine,,core,pron,content,1,0,core,1,0,,curated+consensus19,19,28,15.65
card_0137,monday,Monday,,time,noun,content,1,0,core,1,0,,consensus21,21,9,11.85
card_0138,month,Month,,time,noun,content,1,0,core,1,0,,consensus20,20,16,12.25
card_0139,more,More,again|another,describing,other,request,1,0,core,1,0,,pc36+curated+consensus24,24,134,24.96
card_0140,morning,Morning,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus21,21,50,20.3
card_0141,move,Move,moved|moves|moving,actions,noun,content,1,0,core,1,0,,consensus21,21,42,14.04
card_0142,much,Much,,describing,adj,content,1,0,core,1,0,,curated+consensus13,13,175,15.96
card_0143,my,My,,core,pron,content,1,0,core,1,0,,cbc+curated+consensus22,22,1008,25.18
card_0144,near,Near,nearer|nearest,core,func,content,1,0,core,1,0,,consensus20,20,16,12.25
card_0145,need,Need,needed|needing|needs,actions,noun,content,1,0,core,1,0,,curated+consensus21,21,529,20.81
card_0146,never,Never,,describing,adv,refuse,1,1,core,1,0,,curated+consensus18,18,80,16.79
card_0147,new,New,newer|newest,describing,adj,content,1,0,core,1,0,,consensus22,22,200,16.75
card_0148,next,Next,,numbers,num,content,1,0,core,1,0,,consensus22,22,120,15.99
card_0149,nice,Nice,nicer|nicest,describing,adj,content,1,0,core,1,0,,consensus21,21,178,16.18
card_0150,night,Night,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus24,24,89,22.35
card_0151,no,No,nope|nah,core,func,refuse,1,1,core,1,0,,cbc+curated+consensus23,23,538,24.63
card_0152,not,Not,,core,func,content,1,0,core,1,0,,pc36+curated+consensus23,23,528,26.61
card_0153,november,November,,time,noun,content,1,0,core,1,0,,consensus21,21,2,10.05
card_0154,now,Now,,core,func,content,1,0,core,1,0,,cbc+curated+consensus23,23,253,23.51
card_0155,october,October,,time,noun,content,1,0,core,1,0,,consensus21,21,1,9.44
card_0156,of,Of,,core,func,content,1,0,core,1,0,,curated+consensus19,19,742,20.52
card_0157,off,Off,,core,func,content,1,0,core,1,0,,curated+consensus22,22,89,18.55
card_0158,okay,Okay,,describing,noun,affirm,1,0,core,1,0,,consensus21,21,157,15.99
card_0159,old,Old,oldest,describing,adj,content,1,0,core,1,0,,cbc+consensus22,22,63,18.04
card_0160,on,On,,core,func,content,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,556,30.08
card_0161,open,Open,opened|opening|opens,actions,adj,content,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,71,27.01
card_0162,or,Or,,core,func,content,1,0,core,1,0,,curated+consensus17,17,142,17.24
card_0163,orange,Orange,oranges,colours,adj,content,1,0,core,1,0,,cbc+consensus22,22,8,15.1
card_0164,out,Out,,core,func,content,1,0,core,1,0,,cbc+curated+consensus23,23,273,23.62
card_0165,outside,Outside,,core,func,content,1,0,core,1,0,,cbc+consensus24,24,61,18.79
card_0166,over,Over,,core,func,content,1,0,core,1,0,,cbc+curated+consensus22,22,112,21.89
card_0167,paint,Paint,painted|painting|paints,actions,noun,content,1,0,core,1,0,,consensus22,22,2,10.45
card_0168,pepper,Pepper,,actions,noun,content,1,0,core,1,0,,cbc+consensus21,21,5,14.09
card_0169,pink,Pink,,colours,adj,content,1,0,core,1,0,,cbc+consensus22,22,2,13.45
card_0170,play,Play,played|playing|plays,actions,noun,content,1,0,core,1,0,,curated+consensus22,22,63,18.04
card_0171,please,Please,pleased|pleases|pleasing,actions,noun,request,1,0,core,1,0,,cbc+curated+consensus22,22,542,24.25
card_0172,pour,Pour,poured|pouring|pours,actions,noun,content,1,0,core,1,0,,consensus20,20,3,10.08
card_0173,present,Present,,actions,noun,content,1,0,core,1,0,,consensus20,20,10,11.6
card_0174,pretty,Pretty,prettier|prettiest,describing,adv,content,1,0,core,1,0,,cbc+consensus21,21,58,17.52
card_0175,purple,Purple,,colours,adj,content,1,0,core,1,0,,consensus21,21,6,11.32
card_0176,push,Push,pushed|pushes|pushing,actions,noun,content,1,0,core,1,0,,consensus20,20,7,11.12
card_0177,put,Put,puts|putting,actions,noun,content,1,0,core,1,0,,pc36+curated+consensus21,21,88,23.13
card_0178,quiet,Quiet,quieter|quietest,describing,adj,content,1,0,core,1,0,,cbc+consensus22,22,7,14.92
card_0179,read,Read,reading|reads,actions,noun,content,1,0,core,1,0,,curated+consensus21,21,69,17.77
card_0180,ready,Ready,,describing,adj,content,1,0,core,1,0,,consensus22,22,51,14.73
card_0181,rectangle,Rectangle,,describing,noun,content,1,0,core,1,0,,cbc+consensus21,21,0,11.4
card_0182,red,Red,,colours,adj,content,1,0,core,1,0,,cbc+consensus23,23,25,17.09
card_0183,remember,Remember,remembered|remembering|remembers,actions,verb,content,1,0,core,1,0,,consensus20,20,46,13.78
card_0184,right,Right,rights,describing,noun,content,1,0,core,1,0,,cbc+consensus23,23,184,20.03
card_0185,run,Run,ran|running|runs,actions,verb,content,1,0,core,1,0,,curated+consensus20,20,43,16.68
card_0186,sad,Sad,sadder|saddest,feelings,adj,feeling,1,0,core,1,0,,cbc+curated+consensus24,24,27,20.6
card_0187,same,Same,,describing,adj,content,1,0,core,1,0,,cbc+pc36+curated+consensus25,25,21,25.64
card_0188,saturday,Saturday,,time,noun,content,1,0,core,1,0,,consensus21,21,14,12.46
card_0189,say,Say,said|saying|says,actions,verb,content,1,0,core,1,0,,curated+consensus20,20,169,18.7
card_0190,scared,Scared,,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,12,15.65
card_0191,see,See,seeing|seen|sees,actions,verb,content,1,0,core,1,0,,curated+consensus22,22,346,20.57
card_0192,september,September,,time,noun,content,1,0,core,1,0,,consensus21,21,0,8.4
card_0193,she,She,,core,pron,content,1,0,core,1,0,,pc36+curated+consensus23,23,223,25.32
card_0194,short,Short,shorter|shortest,describing,adj,content,1,0,core,1,0,,cbc+consensus23,23,20,16.77
card_0195,should,Should,,core,aux,content,1,0,core,1,0,,curated+consensus20,20,227,19.14
card_0196,show,Show,showed|showing|shown|shows,actions,noun,content,1,0,core,1,0,,consensus21,21,54,14.41
card_0197,sick,Sick,,feelings,adj,feeling,1,0,core,1,0,,curated+consensus21,21,23,16.17
card_0198,silly,Silly,,feelings,adj,feeling,1,0,core,1,0,,curated+consensus20,20,14,15.06
card_0199,sing,Sing,sang|singing|sings|sung,actions,verb,content,1,0,core,1,0,,consensus20,20,6,10.92
card_0200,sink,Sink,,actions,noun,content,1,0,core,1,0,,consensus20,20,4,10.41
card_0201,sit,Sit,sat|sits|sitting,actions,noun,content,1,0,core,1,0,,curated+consensus20,20,44,16.71
card_0202,sleep,Sleep,sleeping|sleeps|slept,actions,noun,content,1,0,core,1,0,,curated+consensus21,21,64,17.66
card_0203,slow,Slow,slower|slowest,describing,verb,content,1,0,core,1,0,,curated+consensus22,22,12,15.65
card_0204,smart,Smart,smarter|smartest,describing,noun,content,1,0,core,1,0,,consensus20,20,15,12.16
card_0205,so,So,,core,func,content,1,0,core,1,0,,curated+consensus18,18,461,19.4
card_0206,soft,Soft,softer|softest,describing,adj,content,1,0,core,1,0,,cbc+consensus21,21,0,11.4
card_0207,some,Some,,core,func,content,1,0,core,1,0,,pc36+curated+consensus22,22,356,25.62
card_0208,sometimes,Sometimes,,describing,adv,content,1,0,core,1,0,,curated+consensus11,11,14,11.46
card_0209,sorry,Sorry,,describing,noun,social,1,0,core,1,0,,curated+consensus20,20,178,18.78
card_0210,spring,Spring,,time,noun,content,1,0,core,1,0,,cbc+consensus22,22,4,14.21
card_0211,square,Square,,describing,noun,content,1,0,core,1,0,,cbc+consensus22,22,2,13.45
card_0212,stand,Stand,standing|stands|stood,actions,noun,content,1,0,core,1,0,,curated+consensus18,18,18,14.62
card_0213,stop,Stop,stoping|stopped|stopping|stops,actions,noun,refuse,1,1,core,1,0,,pc36+curated+consensus23,23,63,23.44
card_0214,summer,Summer,,time,noun,content,1,0,core,1,0,,cbc+consensus22,22,17,16.14
card_0215,sunday,Sunday,,time,noun,content,1,0,core,1,0,,consensus21,21,19,12.89
card_0216,take,Take,taken|takes|taking|took,actions,verb,content,1,0,core,1,0,,curated+consensus20,20,311,19.61
card_0217,talk,Talk,talked|talking|talks,actions,noun,content,1,0,core,1,0,,consensus21,21,77,14.94
card_0218,tall,Tall,taller|tallest,describing,noun,content,1,0,core,1,0,,cbc+consensus21,21,4,13.81
card_0219,tell,Tell,telling|tells|told,actions,noun,content,1,0,core,1,0,,curated+consensus21,21,161,19.03
card_0220,that,That,,core,pron,content,1,0,core,1,0,,pc36+curated+consensus23,23,992,27.55
card_0221,then,Then,,core,func,content,1,0,core,1,0,,consensus20,20,185,15.84
card_0222,there,There,,core,func,content,1,0,core,1,0,,curated+consensus21,21,282,19.87
card_0223,these,These,,core,pron,content,1,0,core,1,0,,curated+consensus19,19,23,15.37
card_0224,they,They,,core,pron,content,1,0,core,1,0,,curated+consensus21,21,233,19.58
card_0225,think,Think,thinking|thinks|thought,actions,noun,content,1,0,core,1,0,,curated+consensus22,22,428,20.89
card_0226,thirsty,Thirsty,thirstier|thirstiest,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,35,17.18
card_0227,this,This,,core,pron,content,1,0,core,1,0,,curated+consensus20,20,508,20.35
card_0228,those,Those,,core,pron,content,1,0,core,1,0,,curated+consensus20,20,37,16.46
card_0229,thursday,Thursday,,time,noun,content,1,0,core,1,0,,consensus21,21,3,10.48
card_0230,tired,Tired,,feelings,adj,feeling,1,0,core,1,0,,curated+consensus22,22,64,18.06
card_0231,to,To,,core,func,content,1,0,core,1,0,,curated+consensus21,21,2841,23.33
card_0232,toast,Toast,,actions,noun,content,1,0,core,1,0,,cbc+consensus20,20,6,13.92
card_0233,today,Today,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus22,22,253,23.11
card_0234,tomorrow,Tomorrow,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus22,22,131,22.12
card_0235,too,Too,,core,func,content,1,0,core,1,0,,curated+consensus19,19,310,19.21
card_0236,train,Train,,actions,noun,content,1,0,core,1,0,,cbc+consensus21,21,6,14.32
card_0237,triangle,Triangle,,describing,noun,content,1,0,core,1,0,,consensus20,20,0,8.0
card_0238,try,Try,tried|tries|trying,actions,noun,content,1,0,core,1,0,,consensus20,20,158,15.6
card_0239,tuesday,Tuesday,,time,noun,content,1,0,core,1,0,,consensus21,21,10,12.0
card_0240,turn,Turn,turned|turning|turns,school,noun,content,1,0,core,1,0,,pc36+curated+consensus21,21,115,23.53
card_0241,ugly,Ugly,uglier|ugliest,describing,adv,content,1,0,core,1,0,,cbc+consensus21,21,1,12.44
card_0242,under,Under,,core,func,content,1,0,core,1,0,,cbc+curated+consensus22,22,15,18.96
card_0243,up,Up,,core,func,content,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,309,29.2
card_0244,very,Very,,core,func,content,1,0,core,1,0,,curated+consensus19,19,213,18.65
card_0245,wait,Wait,waited|waiting|waits,actions,noun,request,1,0,core,1,0,,curated+consensus22,22,82,18.43
card_0246,walk,Walk,walked|walking|walks,actions,noun,content,1,0,core,1,0,,curated+consensus20,20,56,17.06
card_0247,want,Want,wanted|wanting|wants,actions,noun,content,1,0,core,1,0,,pc36+curated+consensus22,22,511,26.16
card_0248,was,Was,,core,aux,content,1,0,core,1,0,,curated+consensus19,19,4364,23.17
card_0249,wash,Wash,washed|washes|washing,actions,noun,content,1,0,core,1,0,,consensus21,21,17,12.74
card_0250,watch,Watch,watched|watches|watching,actions,noun,content,1,0,core,1,0,,cbc+curated+consensus23,23,134,22.56
card_0251,we,We,,core,pron,content,1,0,core,1,0,,curated+consensus22,22,569,21.32
card_0252,wednesday,Wednesday,,time,noun,content,1,0,core,1,0,,consensus21,21,9,11.85
card_0253,week,Week,weeks,time,noun,content,1,0,core,1,0,,consensus20,20,71,14.41
card_0254,were,Were,,core,aux,content,1,0,core,1,0,,curated+consensus16,16,4364,21.97
card_0255,wet,Wet,wetter|wettest,describing,noun,content,1,0,core,1,0,,cbc+consensus22,22,2,13.45
card_0256,what,What,,questions,wh,question,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,985,30.94
card_0257,when,When,,questions,wh,question,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,305,29.19
card_0258,where,Where,,questions,wh,question,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,354,29.41
card_0259,white,White,,colours,adj,content,1,0,core,1,0,,cbc+consensus22,22,12,15.65
card_0260,who,Who,,questions,wh,question,1,0,core,1,0,,pc36+curated+consensus23,23,116,24.34
card_0261,why,Why,,questions,wh,question,1,0,core,1,0,,cbc+pc36+curated+consensus24,24,287,29.09
card_0262,will,Will,willed|willing|wills,core,aux,content,1,0,core,1,0,,curated+consensus21,21,643,21.1
card_0263,win,Win,winning|wins|won,actions,noun,content,1,0,core,1,0,,consensus20,20,27,13.0
card_0264,winter,Winter,,time,noun,content,1,0,core,1,0,,cbc+consensus22,22,7,14.92
card_0265,with,With,,core,func,content,1,0,core,1,0,,curated+consensus21,21,446,20.55
card_0266,without,Without,,core,func,content,1,0,core,1,0,,curated+consensus6,6,16,9.65
card_0267,work,Work,worked|working|works,actions,noun,content,1,0,core,1,0,,consensus21,21,231,16.57
card_0268,would,Would,,core,aux,content,1,0,core,1,0,,curated+consensus19,19,463,19.81
card_0269,wrong,Wrong,,describing,adj,content,1,0,core,1,0,,consensus21,21,36,13.82
card_0270,yard,Yard,,quantity,noun,content,1,0,core,1,0,,consensus20,20,7,11.12
card_0271,yellow,Yellow,,colours,adj,content,1,0,core,1,0,,cbc+consensus23,23,7,15.32
card_0272,yesterday,Yesterday,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus22,22,30,19.95
card_0273,you,You,,core,pron,content,1,0,core,1,0,,pc36+curated+consensus23,23,5010,29.98
